,ID_block_out,ID_block_in
0,Package\Merge and filter\Split preferences,Package\Merge and filter\Alter name pref
1,Package\Merge and filter\Split preferences,Package\Merge and filter\Union suppliers
2,Package\Merge and filter\Alter name pref,Package\Merge and filter\Union suppliers
3,Package\Merge and filter\Match with products,Package\Merge and filter\Split preferences
4,Package\Merge and filter\Load supplier,Package\Merge and filter\Determine rows sup
5,Package\Merge and filter\Determine rows sup,Package\Merge and filter\Match with products
6,Package\Merge and filter\Union suppliers,Package\Merge and filter\Write Update sup table
